일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2022-02-07,완속,420,420,196,133,21,35,210,336,833,882,1078,1183,1372,1155,1253,1820,2366,3339,3486,3843,3752,2296,2226,1785
2022-02-08,급속,2920,2160,1480,1280,2120,2760,5080,8960,11960,15600,17880,20680,23840,20840,20560,19880,21880,20400,19960,16400,12480,10120,8520,6600
2022-02-08,완속,609,602,322,126,77,77,217,413,749,938,1099,1288,1519,1344,1407,1946,2268,3346,3899,3668,3577,2611,2184,2177
2022-02-09,급속,3640,2880,1800,1200,1920,3280,4400,8960,14400,15120,16840,19320,22760,20360,21320,21800,23600,19760,19880,16920,12280,9920,7720,6000
2022-02-09,완속,532,525,301,140,70,77,245,448,875,1008,1169,1253,1386,1281,1442,1736,2254,3297,3885,3591,3528,2492,2478,1645
2022-02-10,급속,3080,2480,1560,1280,2120,2680,5440,8680,13560,14240,17120,18800,21000,20520,18360,22160,21480,21120,20080,16960,12200,11160,8120,5680
2022-02-10,완속,637,637,245,245,84,98,217,392,728,1148,1001,1113,1218,1078,1260,1694,2142,3066,3794,3563,3479,2492,2247,2219
2022-02-11,급속,3720,2760,1680,1440,1760,2920,4880,9160,15160,16440,16120,20080,22560,21440,22640,21840,21120,21240,19720,14720,13640,10760,8920,6440
2022-02-11,완속,581,574,322,63,84,105,224,434,896,959,1197,1274,1295,1113,1428,1638,2457,2961,3381,3143,2674,2464,2058,2002
2022-02-12,급속,3760,2400,1960,1440,2800,3000,5160,8400,10960,13520,16600,16680,17960,20520,18200,18400,19400,16400,15280,12720,8960,8600,5680,4280
2022-02-12,완속,826,791,483,196,126,112,210,364,805,1036,889,1400,1295,1610,1806,1659,1960,2114,2464,2268,2205,1981,1960,1715
2022-02-13,급속,3040,1840,1240,1040,1480,1600,3560,6680,9280,11160,15680,16480,15760,16080,18120,16480,16920,15800,13840,11440,9240,7840,5880,4040
2022-02-13,완속,756,742,378,259,49,133,140,378,567,1071,1204,1379,1631,1813,1967,1967,2492,2366,2618,2289,1848,1981,1365,1337
